D:\TuongCar\Data\IMG\center_2024_11_25_16_20_20_584.jpg, D:\TuongCar\Data\IMG\left_2024_11_25_16_20_20_584.jpg, D:\TuongCar\Data\IMG\right_2024_11_25_16_20_20_584.jpg, 0, 0, 0, 0.00228351
D:\TuongCar\Data\IMG\center_2024_11_25_16_20_20_685.jpg, D:\TuongCar\Data\IMG\left_2024_11_25_16_20_20_685.jpg, D:\TuongCar\Data\IMG\right_2024_11_25_16_20_20_685.jpg, 0, 0, 0, 0.0001769606
D:\TuongCar\Data\IMG\center_2024_11_25_16_20_20_786.jpg, D:\TuongCar\Data\IMG\left_2024_11_25_16_20_20_786.jpg, D:\TuongCar\Data\IMG\right_2024_11_25_16_20_20_786.jpg, 0, 0, 0, 0.002646377
D:\TuongCar\Data\IMG\center_2024_11_25_16_20_20_890.jpg, D:\TuongCar\Data\IMG\left_2024_11_25_16_20_20_890.jpg, D:\TuongCar\Data\IMG\right_2024_11_25_16_20_20_890.jpg, 0, 0, 0, 0.0008452745
D:\TuongCar\Data\IMG\center_2024_11_25_16_20_20_992.jpg, D:\TuongCar\Data\IMG\left_2024_11_25_16_20_20_992.jpg, D:\TuongCar\Data\IMG\right_2024_11_25_16_20_20_992.jpg, 0, 0, 0, 0.006221661
D:\TuongCar\Data\IMG\center_2024_11_25_16_20_21_093.jpg, D:\TuongCar\Data\IMG\left_2024_11_25_16_20_21_093.jpg, D:\TuongCar\Data\IMG\right_2024_11_25_16_20_21_093.jpg, 0, 0, 0, 0.001941502
D:\TuongCar\Data\IMG\center_2024_11_25_16_20_21_196.jpg, D:\TuongCar\Data\IMG\left_2024_11_25_16_20_21_196.jpg, D:\TuongCar\Data\IMG\right_2024_11_25_16_20_21_196.jpg, 0, 0, 0, 0.001290249
D:\TuongCar\Data\IMG\center_2024_11_25_16_20_21_299.jpg, D:\TuongCar\Data\IMG\left_2024_11_25_16_20_21_299.jpg, D:\TuongCar\Data\IMG\right_2024_11_25_16_20_21_299.jpg, 0, 0, 0, 0.002295006
D:\TuongCar\Data\IMG\center_2024_11_25_16_20_21_400.jpg, D:\TuongCar\Data\IMG\left_2024_11_25_16_20_21_400.jpg, D:\TuongCar\Data\IMG\right_2024_11_25_16_20_21_400.jpg, 0, 0, 0, 0.0001953329
D:\TuongCar\Data\IMG\center_2024_11_25_16_20_21_500.jpg, D:\TuongCar\Data\IMG\left_2024_11_25_16_20_21_500.jpg, D:\TuongCar\Data\IMG\right_2024_11_25_16_20_21_500.jpg, 0, 0, 0, 0.002787722
D:\TuongCar\Data\IMG\center_2024_11_25_16_20_21_602.jpg, D:\TuongCar\Data\IMG\left_2024_11_25_16_20_21_602.jpg, D:\TuongCar\Data\IMG\right_2024_11_25_16_20_21_602.jpg, 0, 0, 0, 0.0008865927
D:\TuongCar\Data\IMG\center_2024_11_25_16_20_21_702.jpg, D:\TuongCar\Data\IMG\left_2024_11_25_16_20_21_702.jpg, D:\TuongCar\Data\IMG\right_2024_11_25_16_20_21_702.jpg, 0, 0, 0, 0.006242452
